time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
92,0,1,256.59,2.57,25,51.452391,5.488862,18.00,139,2
93,0,1,259.32,2.54,25,51.452391,5.488902,18.00,140,3
94,0,1,262.02,2.51,26,51.452390,5.488942,18.00,140,3
95,0,1,264.81,2.56,26,51.452390,5.488982,18.00,141,2
96,0,1,267.77,2.74,26,51.452390,5.489022,18.00,141,3
97,0,1,270.60,2.61,26,51.452390,5.489063,18.00,142,3
98,0,1,272.92,2.71,27,51.452390,5.489104,18.00,143,2
99,0,1,275.94,2.79,27,51.452390,5.489146,18.00,143,3
100,0,1,279.10,2.93,27,51.452390,5.489188,18.00,143,5
101,0,1,281.44,2.94,28,51.452390,5.489230,18.00,144,5
102,0,1,284.54,2.87,28,51.452389,5.489273,18.00,145,2
103,0,1,287.65,2.88,28,51.452389,5.489316,18.00,146,3
104,0,1,290.48,2.86,28,51.452388,5.489359,18.00,146,5
105,0,1,293.39,2.69,29,51.452388,5.489403,18.00,147,5
106,0,1,296.57,2.95,29,51.452387,5.489448,18.00,147,3
107,0,1,299.50,3.11,29,51.452386,5.489492,18.00,147,3
108,0,1,302.54,2.81,29,51.452386,5.489536,18.00,148,2
109,0,1,305.52,2.75,30,51.452385,5.489581,18.00,148,3
110,0,1,308.61,2.89,30,51.452385,5.489625,18.00,148,3
111,0,1,311.76,2.80,30,51.452384,5.489669,18.00,149,2
112,0,1,314.95,2.81,31,51.452384,5.489713,18.00,149,2
113,0,1,317.59,3.01,31,51.452383,5.489757,18.00,149,4
114,0,1,320.84,2.99,31,51.452383,5.489800,18.00,149,4
115,0,1,323.86,2.76,31,51.452383,5.489842,18.00,149,3
116,0,1,326.63,2.77,32,51.452384,5.489885,18.00,149,4
117,0,1,329.68,2.79,32,51.452384,5.489926,18.00,149,2
118,0,1,332.73,2.79,32,51.452385,5.489967,18.00,149,2
119,0,1,335.48,2.66,33,51.452385,5.490008,18.00,149,3
120,0,1,338.60,2.86,33,51.452386,5.490049,18.00,149,2
121,0,1,341.59,2.65,33,51.452387,5.490089,18.00,148,3
122,0,1,344.07,2.64,33,51.452388,5.490130,18.00,148,2
123,0,1,347.18,2.74,34,51.452389,5.490170,18.00,148,3
124,0,1,350.25,2.70,34,51.452389,5.490211,18.00,148,3
125,0,1,352.56,2.63,34,51.452390,5.490252,18.00,148,2
126,0,1,355.43,2.44,35,51.452390,5.490293,18.00,148,3
127,0,1,358.59,2.73,35,51.452391,5.490334,18.00,148,3
128,0,1,360.98,2.70,35,51.452390,5.490376,18.00,148,2
129,0,1,364.08,2.75,35,51.452390,5.490419,18.00,148,3
130,0,1,367.29,2.89,36,51.452390,5.490462,18.00,147,5
131,0,1,369.57,2.81,36,51.452389,5.490505,18.00,147,5
132,0,1,372.56,2.71,36,51.452387,5.490548,18.00,148,3
133,0,1,375.28,2.44,36,51.452386,5.490592,18.00,148,2
134,0,1,378.64,2.97,37,51.452384,5.490635,18.00,148,3
135,0,1,381.59,2.64,37,51.452382,5.490677,18.00,148,2
136,0,1,384.83,2.89,37,51.452379,5.490719,18.00,148,3
137,0,1,387.78,2.76,38,51.452377,5.490760,18.00,148,2
138,0,1,390.71,2.59,38,51.452374,5.490801,18.00,149,3
139,0,1,393.77,2.63,38,51.452372,5.490842,18.00,149,3
140,0,1,396.78,2.47,38,51.452369,5.490883,18.00,149,2
141,0,1,399.44,2.32,39,51.452368,5.490923,18.00,150,3
142,0,1,402.19,2.41,39,51.452366,5.490964,18.00,150,2
143,0,1,405.27,2.68,39,51.452365,5.491005,18.00,151,3
144,0,1,408.27,2.69,40,51.452365,5.491046,18.00,151,3
145,0,1,411.25,2.67,40,51.452364,5.491087,18.00,151,2
146,0,1,413.47,2.75,40,51.452363,5.491128,18.00,151,3
147,0,1,416.44,2.69,40,51.452363,5.491170,18.00,151,2
148,0,1,419.48,2.78,41,51.452361,5.491211,18.00,151,3
149,0,1,421.98,2.66,41,51.452359,5.491252,18.00,152,2
150,0,1,425.01,2.77,41,51.452357,5.491293,18.00,152,3
151,0,1,428.02,2.75,42,51.452355,5.491335,18.00,152,3
152,0,1,430.75,2.76,42,51.452353,5.491377,18.00,152,2
153,0,1,433.74,2.76,42,51.452351,5.491420,18.00,152,3
154,0,1,436.96,2.84,42,51.452348,5.491464,18.00,151,2
155,0,1,439.68,2.80,43,51.452346,5.491508,18.00,151,3
156,0,1,442.82,2.74,43,51.452344,5.491553,18.00,151,2
157,0,1,446.14,2.94,43,51.452342,5.491598,18.00,151,3
158,0,1,448.69,2.96,43,51.452340,5.491643,18.00,151,3
159,0,1,451.97,2.90,44,51.452339,5.491688,18.00,152,2
160,0,1,455.29,2.97,44,51.452337,5.491732,18.00,152,6
161,0,1,457.91,2.91,44,51.452336,5.491776,18.00,152,6
162,0,1,460.98,2.73,45,51.452335,5.491819,18.00,152,2
163,0,1,464.00,2.71,45,51.452333,5.491861,18.00,153,3
164,0,1,467.25,2.54,45,51.452332,5.491902,18.00,153,3
165,0,1,469.92,2.25,45,51.452329,5.491940,18.00,153,2
166,0,1,472.27,1.93,46,51.452326,5.491976,18.00,154,3
167,0,1,475.81,2.09,46,51.452323,5.492010,18.00,154,2
168,0,1,478.45,2.19,46,51.452318,5.492042,18.00,154,3
169,0,1,480.77,1.87,47,51.452313,5.492072,18.00,153,2
170,0,1,483.17,2.05,47,51.452309,5.492104,18.00,153,3
171,0,1,485.73,2.11,47,51.452304,5.492138,18.00,153,3
172,0,1,487.58,1.38,47,51.452301,5.492179,18.00,152,2
173,0,1,490.24,2.21,48,51.452298,5.492228,18.00,151,3
174,0,1,493.50,2.71,48,51.452296,5.492282,18.00,151,2
175,0,1,493.50,2.58,48,51.452292,5.492333,18.00,150,3
176,0,1,493.50,3.03,49,51.452287,5.492379,18.00,150,3
177,0,1,496.76,2.82,49,51.452280,5.492420,18.00,149,2
178,0,1,499.76,2.57,49,51.452272,5.492458,18.00,149,3
179,0,1,502.73,2.57,49,51.452266,5.492497,18.00,149,2
180,0,1,505.51,2.38,50,51.452261,5.492535,18.00,150,3
181,0,1,506.01,2.58,50,51.452256,5.492573,18.00,149,3
182,0,1,509.24,2.71,50,51.452252,5.492612,18.00,149,2
183,0,1,511.96,2.24,50,51.452248,5.492651,18.00,149,3
184,0,1,522.08,1.82,51,51.452245,5.492689,18.00,150,2
185,0,1,524.72,2.16,51,51.452241,5.492728,18.00,150,3
186,0,1,527.49,2.28,51,51.452238,5.492766,18.00,150,2
187,0,1,531.42,2.50,52,51.452234,5.492804,18.00,150,3
188,0,1,534.56,2.65,52,51.452229,5.492842,18.00,150,3
189,0,1,537.70,2.65,52,51.452224,5.492879,18.00,151,2
190,0,1,539.20,2.37,52,51.452217,5.492917,17.00,151,3
191,0,1,542.02,2.36,53,51.452210,5.492954,17.00,151,2
192,0,1,544.79,2.31,53,51.452201,5.492990,17.00,152,3
193,0,1,547.43,2.46,53,51.452192,5.493026,17.00,152,2
194,0,1,550.21,2.35,54,51.452182,5.493060,17.00,153,3
195,0,1,553.02,2.32,54,51.452171,5.493093,17.00,153,3
196,0,1,555.66,1.99,54,51.452163,5.493125,17.00,154,2
197,0,1,557.86,1.70,54,51.452158,5.493159,17.00,154,3
198,0,1,560.29,1.95,55,51.452157,5.493195,17.00,154,3
199,0,1,563.30,2.33,55,51.452158,5.493233,17.00,154,2
200,0,1,566.16,2.40,55,51.452157,5.493272,17.00,154,3
201,0,1,569.14,2.49,56,51.452154,5.493310,17.00,154,2
202,0,1,570.80,2.37,56,51.452147,5.493348,17.00,154,3
203,0,1,573.44,2.19,56,51.452137,5.493387,18.00,154,3
204,0,1,576.49,2.59,56,51.452125,5.493426,18.00,154,3
205,0,1,579.09,2.61,57,51.452112,5.493466,18.00,154,3
206,0,1,582.31,2.73,57,51.452098,5.493506,18.00,154,2
207,0,1,585.33,2.56,57,51.452083,5.493547,18.00,154,3
208,0,1,587.87,2.40,57,51.452068,5.493589,18.00,154,5
209,0,1,591.08,2.77,58,51.452054,5.493631,18.00,154,5
210,0,1,594.49,2.97,58,51.452041,5.493674,18.00,154,3
211,0,1,597.04,3.27,58,51.452029,5.493717,18.00,154,2
212,0,1,600.58,3.07,59,51.452019,5.493760,18.00,154,3
213,0,1,604.13,3.08,59,51.452009,5.493804,18.00,155,2
214,0,1,607.20,2.99,59,51.452000,5.493847,18.00,155,3
